100    1.740E+02   2.640E-01  
200    7.258E+00   1.504E-02
500    2.502E-01   4.680E-04 
1000   1.494E-02   2.846E-05 
2000   4.352E-04   9.518E-07
3000   2.788E-05   5.231E-08
4000   2.613E-06   4.816E-09
5000   3.786E-07   8.255E-10
6000   7.349E-08   1.412E-10
